Genesis;[8]1,[6]1,[0]1,[1]1,[4]1,[9]1,[2]1
[0]26;[5]21,[8]31,[9]28,[7]22,[1]31,[2]19,[0]27
[9]27;[0]56
[6]27;[6]28,[2]19
[3]21;[5]21,[3]22,[1]31,[0]27,[7]23
[4]14;[1]32,[8]33
[5]21;[5]22
[7]21;[7]22,[0]27,[1]32
[6]28;[2]25
[3]22;[8]33,[1]33,[4]15,[3]23,[9]29
[8]31;[8]32,[1]33
[8]32;[5]22,[8]33,[4]15,[3]23,[9]29,[7]24,[0]28
[9]28;[4]15,[3]23
[7]22;[7]23
[1]31;[5]22,[1]32,[9]29,[7]24
[2]19;[3]25,[0]30,[7]27
[5]22;[7]26,[2]20,[9]30
[0]27;[0]28,[3]24,[7]25,[8]34,[2]20
[7]23;[7]24,[0]28
[1]32;[1]33
[8]33;[3]24,[7]27
[1]33;[3]25,[0]29,[7]26,[2]21
[4]15;[0]29,[8]34,[2]21
[3]23;[3]24,[7]25
[9]29;[8]34
[7]24;[7]25,[0]30,[2]20,[3]26
[0]28;[0]29,[3]26,[9]30,[1]34,[4]16
[3]24;[3]25
[3]25;[3]26,[0]31,[9]30,[1]34,[4]16
[7]25;[7]26,[1]34,[4]16,[0]32
[0]29;[0]30,[1]35
[8]34;[5]33,[6]44
[7]26;[7]27
[0]30;[0]31,[4]17,[2]22,[8]35,[3]27,[1]36
[7]27;[7]28,[4]17,[2]22,[0]33,[8]35,[3]27
[2]20;[2]21,[0]33,[8]35
[2]21;[2]22,[8]36,[0]34,[7]29
[7]28;[5]23,[8]36,[1]36,[0]34,[9]31
[3]26;[3]27
[0]31;[5]23,[0]32
[9]30;[2]56,[3]66
[1]34;[1]35
[4]16;[4]17
[1]35;[5]23,[1]36,[7]29,[9]31
[5]23;[6]34
[0]32;[0]33,[7]29,[9]31
[4]17;[3]28,[4]18,[6]30
[2]22;[3]28,[4]20,[6]30,[8]37
[0]33;[0]34,[3]28,[4]18,[6]29,[2]23
[8]35;[8]36,[4]18
[3]27;[4]20,[3]30,[7]30
[8]36;[5]24,[4]19,[0]35,[6]29,[2]23,[3]30
[1]36;[5]24,[4]19,[0]35,[6]29,[2]23,[3]29,[8]37,[9]32,[7]30
[0]34;[5]24,[0]35,[3]29,[8]37,[9]32,[7]30
[7]29;[8]38,[2]24,[3]32
[5]24;[4]27
[9]31;[3]29,[9]32
[3]28;[7]32,[6]33
[4]18;[4]19
[4]19;[4]20
[0]35;[5]25,[7]31,[6]31,[9]33,[3]31,[4]22
[4]20;[5]25,[7]31,[6]31,[9]33,[3]31,[0]36,[4]22
[6]29;[6]30
[6]30;[5]25,[7]31,[6]31,[3]31,[4]21,[0]36
[2]23;[9]33,[7]32,[6]32
[5]25;[4]23,[1]37
[3]29;[3]30
[3]30;[4]21,[0]36,[6]32
[8]37;[6]33
[9]32;[4]21
[7]30;[9]37
[7]31;[5]26,[7]32,[6]34,[2]24,[3]32
[6]31;[5]26,[6]32,[8]38,[2]24,[4]24,[3]33
[5]26;[8]39
[9]33;[8]38
[3]31;[3]32,[4]24
[7]32;[1]37,[3]33,[2]25
[4]21;[4]22
[0]36;[6]35,[1]38,[2]26,[8]39
[4]22;[4]23,[6]35,[1]38
[6]32;[6]33
[6]33;[6]34
[6]34;[6]35,[2]26,[8]39
[8]38;[5]34,[9]43,[8]46,[3]43
[2]24;[2]25
[3]32;[3]33
[4]23;[4]24
[4]24;[6]37,[4]26,[8]41,[2]28
[1]37;[1]38
[3]33;[6]37,[4]26,[8]40,[2]27
[2]25;[2]26,[6]36,[9]34,[3]34
[6]35;[6]36,[9]34,[3]34,[4]25,[1]39
[1]38;[5]27,[6]36,[9]34,[3]34,[4]25,[1]39,[8]40,[2]27
