Genesis;[0]1,[1]1,[4]1
[4]78;[1]73
[2]80;[0]70
[0]68;[2]82,[1]74
[2]81;[2]82,[0]71,[1]74
[0]69;[0]70,[1]73,[3]74
[4]79;[4]80
[0]70;[0]71
[1]73;[3]75
[2]82;[2]83
[3]74;[3]76,[4]80
[0]71;[3]75
[1]74;[2]87
[2]83;[2]84,[0]72
[3]75;[3]78,[2]85,[4]81
[3]76;[3]77
[2]84;[1]76
[0]72;[0]73
[3]77;[3]79
[4]80;[3]78,[2]85,[4]81
[0]73;[0]74
[0]74;[0]75,[1]75
[3]78;[3]79,[1]76
[0]75;[4]82,[0]77
[2]85;[2]86,[0]76
[4]81;[2]86,[0]76
[1]75;[4]85
[3]79;[2]87,[3]80
[1]76;[1]77,[3]81
[2]86;[3]80
[0]76;[3]81,[0]78
[2]87;[1]77
[4]82;[4]83
[0]77;[0]79
[3]80;[3]82
[1]77;[0]78
[3]81;[1]78
[3]82;[3]83,[0]80,[4]84
[0]78;[0]79
[4]83;[1]79
[0]79;[0]80,[4]84
[3]83;[1]78
[0]80;[0]81
[4]84;[4]85,[1]80
[1]78;[2]88,[4]86,[3]84
[0]81;[2]88,[1]80,[3]84
[4]85;[2]89,[4]86
[1]79;[1]81
[2]88;[2]89,[4]87
[1]80;[0]82
[2]89;[3]85,[2]90
[4]86;[4]87
[3]84;[3]85
[4]87;[0]83,[4]88
[0]82;[2]90,[0]83
[3]85;[4]88
[2]90;[2]91
[0]83;[1]82,[3]86
[1]81;[1]83
[4]88;[2]91,[1]82,[3]86
[2]91;[0]84,[2]92,[4]89
[1]82;[0]84,[2]92,[4]89
[3]86;[3]87
[0]84;[3]87
[2]92;[0]86,[2]94
[4]89;[2]93,[0]85
[3]87;[2]93,[0]85
[1]83;[1]84,[3]88,[4]90
[2]93;[2]94
[0]85;[0]86,[3]88,[4]90
[1]84;[1]85,[4]91
[0]86;[3]90
[2]94;[2]95
[3]88;[3]89
[4]90;[3]90
[3]89;[3]91
[2]95;[2]96
[3]90;[2]96,[1]85,[4]91
[2]96;[3]91
[1]85;[1]86
[4]91;[2]97
[3]91;[2]97,[4]92
[1]86;[4]92,[3]92
[2]97;[2]98,[3]92
[4]92;[1]87
[2]98;[2]99,[3]93,[1]89
[3]92;[1]88,[0]87
[1]87;[1]88,[2]99,[0]87
[1]88;[4]93,[2]100,[3]93,[1]89
[2]99;[2]100,[3]94
[4]93;[0]88,[1]90,[4]95,[3]95
[0]87;[3]94
[2]100;[4]97
[3]93;[4]94
[1]89;[4]94
[3]94;[1]90
[4]94;[0]88,[3]95
[0]88;[3]96,[0]89
[1]90;[0]89,[4]96
[4]95;[4]96
[3]95;[3]97,[4]97
[3]96;[3]97
[0]89;[3]98,[0]90,[1]91
[4]96;[4]98,[1]93
[3]97;[3]98
[4]97;[0]90,[1]91
[3]98;[3]99
[0]90;[4]98
[1]91;[1]93
[3]99;[1]92
[1]92;[0]91,[1]94,[4]99
[4]98;[4]99,[0]92
[1]93;[1]94
[0]91;[0]92
[1]94;[0]93,[3]100
[4]99;[4]100
[4]100;[0]93,[3]100
[0]92;[0]94,[1]95
[0]93;[0]94,[1]95
[3]100;[0]97
[0]94;[0]95
[1]95;[0]97
[0]95;[0]96
[0]96;[1]96
[1]96;[0]98
[0]97;[1]97,[0]100
[0]98;[0]99
[0]99;[1]97,[0]100
[1]97;[1]98
[0]100;
[1]98;[1]99
[1]99;[1]100
[1]100;
